gene	ENSG00000231620	ENST00000433210
isoform	ENST00000433210	ENSE00001802701;ENSE00001729938
exon	ENSE00001715598	5020114	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001740282	5555994	5556130
isoform	ENST00000456342	ENSE00001626675;ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00001789031;ENSE00001769076;ENSE00001712365
exon	ENSE00001626675	5020233	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001712365	5555994	5556136
isoform	ENST00000602339	ENSE00003365409;ENSE00001758912;ENSE00001789031;ENSE00001769076;ENSE00003284770
exon	ENSE00003365409	5279604	5279711
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00003284770	5555994	5556268
isoform	ENST00000602892	ENSE00003284117;ENSE00001789031;ENSE00003361529
exon	ENSE00003284117	5368328	5368741
exon	ENSE00001789031	5436490	5436538
exon	ENSE00003361529	5555994	5556151
isoform	ENST00000428669	ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00001789031;ENSE00001769076;ENSE00001541870;ENSE00001692054
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001541870	5543340	5543454
exon	ENSE00001692054	5555994	5556118
isoform	ENST00000453910	ENSE00001612956;ENSE00001789031;ENSE00001769076;ENSE00001541870;ENSE00001742590
exon	ENSE00001612956	5368518	5368741
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001541870	5543340	5543454
exon	ENSE00001742590	5555994	5556103
isoform	ENST00000619222	ENSE00001494061;ENSE00001715598;ENSE00001494058;ENSE00001625593;ENSE00001789031;ENSE00001769076;ENSE00001541870;ENSE00003717383
exon	ENSE00001494061	5019522	5019548
exon	ENSE00001715598	5020114	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001541870	5543340	5543454
exon	ENSE00003717383	5555994	5558775
isoform	ENST00000441820	ENSE00001797242;ENSE00001541870;ENSE00001632518
exon	ENSE00001797242	5486281	5486439
exon	ENSE00001541870	5543340	5543454
exon	ENSE00001632518	5555994	5556249
gene	ENSG00000226818	ENST00000413933
isoform	ENST00000413933	ENSE00001605194
exon	ENSE00001605194	8193543	8195392
gene	ENSG00000199962	ENST00000363092
isoform	ENST00000363092	ENSE00001437855
exon	ENSE00001437855	6525798	6525906
gene	ENSG00000215562	ENST00000400583
isoform	ENST00000400583	ENSE00001646882
exon	ENSE00001646882	2775696	2776627
gene	ENSG00000276738	ENST00000615444
isoform	ENST00000615444	ENSE00003734790
exon	ENSE00003734790	9546953	9547163
gene	ENSG00000279648	ENST00000624164
isoform	ENST00000624164	ENSE00003754996
exon	ENSE00003754996	6654408	6656455
gene	ENSG00000252963	ENST00000517154
isoform	ENST00000517154	ENSE00002089431
exon	ENSE00002089431	9305653	9305896
gene	ENSG00000240755	ENST00000433806
isoform	ENST00000433806	ENSE00001795618
exon	ENSE00001795618	3092581	3093158
gene	ENSG00000236471	ENST00000449746
isoform	ENST00000449746	ENSE00001682401;ENSE00001752929
exon	ENSE00001682401	4016070	4016212
exon	ENSE00001752929	4016535	4016837
gene	ENSG00000239023	ENST00000458992
isoform	ENST00000458992	ENSE00001807640
exon	ENSE00001807640	5667998	5668157
gene	ENSG00000244676	ENST00000454737;ENST00000428689
isoform	ENST00000454737	ENSE00001689198;ENSE00001713116
exon	ENSE00001689198	6757945	6757976
exon	ENSE00001713116	6759495	6759845
isoform	ENST00000428689	ENSE00001782668;ENSE00001713116
exon	ENSE00001782668	6742488	6742558
exon	ENSE00001713116	6759495	6759845
gene	ENSG00000229289	ENST00000424219
isoform	ENST00000424219	ENSE00001764290;ENSE00001666620
exon	ENSE00001764290	8079523	8079691
exon	ENSE00001666620	8083124	8083423
gene	ENSG00000224309	ENST00000507941;ENST00000471407;ENST00000447861;ENST00000435744
isoform	ENST00000507941	ENSE00002057944;ENSE00002049806
exon	ENSE00002057944	1987330	1987424
exon	ENSE00002049806	1994163	1995421
isoform	ENST00000471407	ENSE00002244026;ENSE00002215833;ENSE00001700951;ENSE00001762816
exon	ENSE00002244026	1991784	1991952
exon	ENSE00002215833	1994163	1994270
exon	ENSE00001700951	1997965	1998029
exon	ENSE00001762816	2000796	2001118
isoform	ENST00000447861	ENSE00001666223;ENSE00001740253;ENSE00001602210;ENSE00001700951;ENSE00001762816
exon	ENSE00001666223	1987160	1987424
exon	ENSE00001740253	1991502	1991616
exon	ENSE00001602210	1991779	1994270
exon	ENSE00001700951	1997965	1998029
exon	ENSE00001762816	2000796	2001118
isoform	ENST00000435744	ENSE00001785486;ENSE00001740253;ENSE00001782233;ENSE00002215833;ENSE00001761571;ENSE00001700951;ENSE00001634691;ENSE00001735545;ENSE00001615725;ENSE00001665133;ENSE00001686977
exon	ENSE00001785486	1987208	1987424
exon	ENSE00001740253	1991502	1991616
exon	ENSE00001782233	1991779	1991952
exon	ENSE00002215833	1994163	1994270
exon	ENSE00001761571	1995236	1995373
exon	ENSE00001700951	1997965	1998029
exon	ENSE00001634691	2000796	2000889
exon	ENSE00001735545	2009577	2009883
exon	ENSE00001615725	2014175	2014242
exon	ENSE00001665133	2014558	2014699
exon	ENSE00001686977	2015852	2016033
gene	ENSG00000252462	ENST00000516653
isoform	ENST00000516653	ENSE00002088930
exon	ENSE00002088930	6380547	6380647
gene	ENSG00000234730	ENST00000428205
isoform	ENST00000428205	ENSE00001609710;ENSE00001712433
exon	ENSE00001609710	10515763	10515963
exon	ENSE00001712433	10564030	10564437
gene	ENSG00000280082	ENST00000623768
isoform	ENST00000623768	ENSE00003759741
exon	ENSE00003759741	4295652	4295738
gene	ENSG00000230198	ENST00000448908
isoform	ENST00000448908	ENSE00001657492
exon	ENSE00001657492	8542841	8543108
gene	ENSG00000280108	ENST00000624445
isoform	ENST00000624445	ENSE00003756290;ENSE00003755158
exon	ENSE00003756290	2254152	2254221
exon	ENSE00003755158	2263408	2263944
gene	ENSG00000154645	ENST00000338326;ENST00000400131;ENST00000400135;ENST00000400127;ENST00000400128;ENST00000543733;ENST00000299295
isoform	ENST00000338326	ENSE00003742672;ENSE00001016990;ENSE00001016989;ENSE00001633443
exon	ENSE00003742672	7205502	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00001633443	7214954	7216365
isoform	ENST00000400131	ENSE00001541702;ENSE00003555705;ENSE00001016990;ENSE00001016989;ENSE00003545796
exon	ENSE00001541702	6866340	6866400
exon	ENSE00003555705	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00003545796	7214954	7216373
isoform	ENST00000400135	ENSE00001541702;ENSE00001541701;ENSE00003555705;ENSE00001016990;ENSE00001016989;ENSE00003545796
exon	ENSE00001541702	6866340	6866400
exon	ENSE00001541701	6976872	6976971
exon	ENSE00003555705	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00003545796	7214954	7216373
isoform	ENST00000400127	ENSE00001541702;ENSE00001541701;ENSE00003555705;ENSE00001016990;ENSE00001016989;ENSE00001016988;ENSE00003543855
exon	ENSE00001541702	6866340	6866400
exon	ENSE00001541701	6976872	6976971
exon	ENSE00003555705	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00001016988	7211791	7211893
exon	ENSE00003543855	7214954	7216373
isoform	ENST00000400128	ENSE00001541680;ENSE00001541679;ENSE00003555705;ENSE00001016990;ENSE00001016989;ENSE00001016988;ENSE00003543855
exon	ENSE00001541680	6850263	6850424
exon	ENSE00001541679	6866220	6866400
exon	ENSE00003555705	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00001016988	7211791	7211893
exon	ENSE00003543855	7214954	7216373
isoform	ENST00000543733	ENSE00002245925;ENSE00003659737;ENSE00001016990;ENSE00001016989;ENSE00001016988;ENSE00002217929
exon	ENSE00002245925	7194875	7194969
exon	ENSE00003659737	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00001016988	7211791	7211893
exon	ENSE00002217929	7214954	7215837
isoform	ENST00000299295	ENSE00003468151;ENSE00003659737;ENSE00001016990;ENSE00001016989;ENSE00001016988;ENSE00003543855
exon	ENSE00003468151	7193833	7194302
exon	ENSE00003659737	7205509	7205818
exon	ENSE00001016990	7205970	7206127
exon	ENSE00001016989	7209200	7209286
exon	ENSE00001016988	7211791	7211893
exon	ENSE00003543855	7214954	7216373
gene	ENSG00000228184	ENST00000444901
isoform	ENST00000444901	ENSE00001613831
exon	ENSE00001613831	2474599	2477579
gene	ENSG00000214319	ENST00000398098
isoform	ENST00000398098	ENSE00001531603
exon	ENSE00001531603	2625022	2626116
gene	ENSG00000201812	ENST00000364942
isoform	ENST00000364942	ENSE00001439705
exon	ENSE00001439705	3019871	3019986
gene	ENSG00000207638	ENST00000384906
isoform	ENST00000384906	ENSE00001499913
exon	ENSE00001499913	5488089	5488169
gene	ENSG00000229336	ENST00000282964
isoform	ENST00000282964	ENSE00001759787
exon	ENSE00001759787	8688709	8689150
gene	ENSG00000280594	ENST00000626994;ENST00000630155
isoform	ENST00000626994	ENSE00003773795;ENSE00003773426;ENSE00003774205
exon	ENSE00003773795	6560744	6561087
exon	ENSE00003773426	6575893	6576049
exon	ENSE00003774205	6582149	6582199
isoform	ENST00000630155	ENSE00003761532
exon	ENSE00003761532	6560773	6563113
gene	ENSG00000219280	ENST00000407739
isoform	ENST00000407739	ENSE00001554923
exon	ENSE00001554923	2425371	2426263
unknown_gene	ENSG00000266195	ENST00000583100
unknown_isoform	ENST00000583100	ENSE00002702021
unknown_exon	ENSE00002702021	6455453	6455728
unknown_gene	ENSG00000154639	ENST00000400165;ENST00000400169;ENST00000400166;ENST00000284878;ENST00000356275
unknown_isoform	ENST00000400165	ENSE00001541853;ENSE00001370254;ENSE00001016957;ENSE00001541821
unknown_exon	ENSE00001541853	6462130	6462172
unknown_exon	ENSE00001370254	6496027	6496193
unknown_exon	ENSE00001016957	6500749	6500953
unknown_exon	ENSE00001541821	6514428	6514615
unknown_isoform	ENST00000400169	ENSE00001541853;ENSE00001370254;ENSE00001016957;ENSE00001016954;ENSE00001016953;ENSE00001016956;ENSE00001541834;ENSE00001541833
unknown_exon	ENSE00001541853	6462130	6462172
unknown_exon	ENSE00001370254	6496027	6496193
unknown_exon	ENSE00001016957	6500749	6500953
unknown_exon	ENSE00001016954	6507976	6508131
unknown_exon	ENSE00001016953	6509702	6509824
unknown_exon	ENSE00001016956	6510338	6510476
unknown_exon	ENSE00001541834	6514428	6514611
unknown_exon	ENSE00001541833	6542152	6542579
unknown_isoform	ENST00000400166	ENSE00001541826;ENSE00001370254;ENSE00001016957;ENSE00001016954;ENSE00001541825
unknown_exon	ENSE00001541826	6462046	6462172
unknown_exon	ENSE00001370254	6496027	6496193
unknown_exon	ENSE00001016957	6500749	6500953
unknown_exon	ENSE00001016954	6507976	6508131
unknown_exon	ENSE00001541825	6514428	6514852
unknown_isoform	ENST00000284878	ENSE00001356018;ENSE00001370254;ENSE00001016957;ENSE00001016954;ENSE00001016953;ENSE00001016956;ENSE00001918181
unknown_exon	ENSE00001356018	6461382	6462172
unknown_exon	ENSE00001370254	6496027	6496193
unknown_exon	ENSE00001016957	6500749	6500953
unknown_exon	ENSE00001016954	6507976	6508131
unknown_exon	ENSE00001016953	6509702	6509824
unknown_exon	ENSE00001016956	6510338	6510476
unknown_exon	ENSE00001918181	6514428	6519100
unknown_isoform	ENST00000356275	ENSE00001541853;ENSE00001370254;ENSE00001531599
unknown_exon	ENSE00001541853	6462130	6462172
unknown_exon	ENSE00001370254	6496027	6496193
unknown_exon	ENSE00001531599	6514428	6514487
unknown_gene	ENSG00000231201	ENST00000436429
unknown_isoform	ENST00000436429	ENSE00001771426;ENSE00001693515;ENSE00001607020
unknown_exon	ENSE00001771426	3920470	3920569
unknown_exon	ENSE00001693515	3923215	3923317
unknown_exon	ENSE00001607020	3941234	3941854
unknown_gene	ENSG00000166351	ENST00000299443;ENST00000620442
unknown_isoform	ENST00000299443	ENSE00001690230;ENSE00001700824;ENSE00001632001;ENSE00001713835;ENSE00001693437;ENSE00001784960;ENSE00001625877;ENSE00001690399;ENSE00001645546;ENSE00001608826;ENSE00001623983
unknown_exon	ENSE00001690230	2559177	2559749
unknown_exon	ENSE00001700824	2564123	2564237
unknown_exon	ENSE00001632001	2564397	2564570
unknown_exon	ENSE00001713835	2567349	2567455
unknown_exon	ENSE00001693437	2569158	2569295
unknown_exon	ENSE00001784960	2571805	2571875
unknown_exon	ENSE00001625877	2577382	2577452
unknown_exon	ENSE00001690399	2578856	2578900
unknown_exon	ENSE00001645546	2579941	2580107
unknown_exon	ENSE00001608826	2588515	2588638
unknown_exon	ENSE00001623983	2590345	2590585
unknown_isoform	ENST00000620442	ENSE00003716544;ENSE00001700824;ENSE00001632001;ENSE00001713835;ENSE00001693437;ENSE00001784960;ENSE00003731339;ENSE00003729993
unknown_exon	ENSE00003716544	2558858	2559749
unknown_exon	ENSE00001700824	2564123	2564237
unknown_exon	ENSE00001632001	2564397	2564570
unknown_exon	ENSE00001713835	2567349	2567455
unknown_exon	ENSE00001693437	2569158	2569295
unknown_exon	ENSE00001784960	2571805	2571875
unknown_exon	ENSE00003731339	2573313	2573533
unknown_exon	ENSE00003729993	2574273	2574542
